src_user_id,dst_user_id,timestamp
4550,4550,1220729190
242,184,1220733503
4213,4946,1220768149
91,91,1220768295
2658,1874,1220771891
4035,1874,1220773037
2257,4489,1220802041
577,577,1220834891
4489,4489,1220853536
828,2783,1220854143
1412,5113,1220857132
3446,5113,1220862643
3446,5113,1220862734
1790,5119,1220867837
1412,5113,1220871353
4489,1360,1220876561
2653,4906,1220879177
4491,4491,1220882092
1772,4903,1220886524
952,3196,1220886793
372,1127460,1220891110
184,123,1220892200
1127460,1127460,1220892464
1127460,1127460,1220892567
4021,4021,1220893201
1008,1008,1220895670
1709,5222,1220913965
3208,3208,1220918224
3208,3208,1220920031
1965,5208,1220926251
2915,4220,1220930692
1219,5278,1220931879
4984,5278,1220932532
327,2191,1220933233
832,5278,1220934079
91,91,1220938023
245,1117,1220940793
3408,2566,1220942025
131,131,1220955702
2975,131,1220955783
1886,1886,1220957266
1412,3742,1220962624
372,834,1220970575
91,91,1220974043
960,2759376,1220980222
86,4406,1220980636
4406,4406,1220981373
1553,342,1220982748
834,834,1220982941
4200,5023,1220986480
123,445087,1220987608
986,1175,1220990906
379,1175,1220991892
2287,1175,1220992054
3208,3208,1220992336
1146,445087,1220993231
2257,2757,1220994873
379,1175,1220994882
1772,123,1220995563
123,123,1220995667
3655,4880,1220996320
1886,123,1220996660
2257,5380,1220997225
123,123,1220997231
2257,5197,1220997593
4002,4002,1220997805
1790,115,1220998163
115,115,1220998305
1772,123,1220998339
3474,123,1220998761
115,115,1220999352
2541,115,1220999748
2535,5369,1221001725
115,115,1221003060
1220,122,1221007397
17,2064,1221010565
1277510,3279,1221013426
1790,672,1221013681
2541,115,1221020101
1310,1666,1221021231
1310,279,1221021854
1438,2001,1221022097
1790,5473,1221022943
372,5302,1221045567
4615,4615,1221045734
1196,5302,1221047453
1196,5302,1221049178
2574,3146,1221054193
4013,4491,1221056277
4285,3900,1221056710
4489,4764,1221056774
5330,3900,1221059903
1384652,4880,1221061021
5357,5357,1221070730
445087,445087,1221071161
2208,445087,1221074931
1908,1228,1221075413
2469,1874,1221077015
834,834,1221077749
1908,5330,1221078157
29,5056,1221079048
2757,1842864,1221079343
1220,4200,1221079620
383,4906,1221083270
1471,4877,1221083313
1471,4144,1221084821
4410,4144,1221085111
1772,4144,1221086731
1353,577,1221087173
